Month and Year,industries,number
December 2016,Metallurgy and metallurgy,1
December 2016,Mining and processing of other raw materials from the ground,1
December 2016,Mining services,
December 2016,Food production,440
December 2016,Manufacture of beverages,154
December 2016,Manufacture of textiles,20
December 2016,Clothing making,
December 2016,Manufacture of leather and leather products,4
December 2016,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,26
December 2016,Manufacture of paper and paper products,1
December 2016,Printing and duplication of recorded material,6
December 2016,Production of coke and refined petroleum products,3
December 2016,Manufacture of chemicals and chemical products,14
December 2016,Manufacture of pharmaceutical preparations and preparations,1
December 2016,Manufacture of rubber and plastic products,4
December 2016,Manufacture of non-metallic mineral products,6
December 2016,Manufacture of basic metals,5
December 2016,Manufacture of fabricated metal products; except machinery and equipment,18
December 2016,Manufacture of computer; electronic and optical products,30
December 2016,Manufacture of electrical and household appliances,22
December 2016,Manufacture of other machinery and equipment nec,
December 2016,Manufacture of motor vehicles and trailers,2
December 2016,Manufacture of other vehicles,9
December 2016,Manufacture of furniture and fittings,
December 2016,Production; nec,9
December 2016,Repair and installation of hardware and equipment,2
December 2016,Electricity; gas and heating utilities; refrigeration and ventilation systems,14
December 2016,Water supply; collection and treatment of water,13
December 2016,Garbage collection; treatment and disposal of waste; material reuse,9
December 2016,Decontamination and other waste treatment services,1
December 2016,Housing construction; development of construction projects,
December 2016,Civil engineering,11
December 2016,Specialized construction activities,
December 2016,Sale; repair and maintenance of motor vehicles and trailers,126
December 2016,Wholesale trade; except of motor vehicles and motorcycles,17
December 2016,Retail trade; except of motor vehicles and motorcycles,83
December 2016,Land transport and by pipeline,78
December 2016,Transport by sea and waterways,210
December 2016,Air transportation,345
December 2016,Warehousing and support activities for transport,45
December 2016,Post and courier services,32
December 2016,Operation of accommodation,48
December 2016,Catering and service,89
December 2016,Publishing activities,59
December 2016,Production of films; videos and television material; audio recording and music publishing,198
December 2016,Radio and television broadcasting; programming,237
December 2016,Telecommunications,33
December 2016,Information technology services,19
December 2016,Information service activities,18
December 2016,Financial services; excluding the activities of insurance companies and pension funds,16
December 2016,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,71
December 2016,Activities related to financial services and insurance,11
December 2016,Real estate,101
December 2016,Legal services and accounting,8
December 2016,Headquarters operations; operations consultancy activities,10
December 2016,Activities of architects and engineers; technical tests and analysis,41
December 2016,Scientific research and development,29
December 2016,Advertising and marketing research,50
December 2016,Other professional; scientific and technical activities,27
December 2016,Veterinary medicine,15
December 2016,Rental activities; except real estate leasing,12
December 2016,Employment agency,18
December 2016,Travel agencies; tour operators and other booking services,1
December 2016,Security and research activities,42
December 2016,Real estate management; cleaning services and ornamental gardening,6
December 2016,Office services and other business services,71
December 2016,Public administration; defense and social security,22
December 2016,Educational activities,179
December 2016,Health care,41
December 2016,Care in residential homes,41
December 2016,Social services without a stay in an institution,175
December 2016,Creative arts and entertainment,81
December 2016,Museum activities and other cultural activities,83
December 2016,Financial risk and betting activities,54
December 2016,Sports and leisure activities,19
December 2016,Activities of NGOs,11
December 2016,Repair of computers and objects for personal and household use,2
December 2016,Other service activities,52
December 2016,Housekeeping with paid staff,51
December 2016,Service activities and home production of various products for personal use,10
December 2016,Activities of extra territorial organisations and bodies,55
December 2016,Working from home,1
December 2016,Student,1
December 2016,No work history,
December 2016,Uncertain,202
January 2017,Cultivation of crops and animal husbandry; hunting and related service activities,60
January 2017,Forestry and logging,9
